,storm_code,storm_name,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
120,SHEM_19_15,Oma,0,0,7.355273299152629,8.594617805741194,0,0,6.233342688479429,7.389318882490762,0,0,5.704303950655936,7.206770369891746,54,0.0,0.0,0.0,0.0,0.0,0.0
121,SHEM_15_10,Ola,2,1,4.1588830833596715,4.852030263919617,2,0,4.388237894673161,5.312010573201464,2,0,4.467034927577314,5.75530016776981,40,5.0,2.5,5.0,0.0,5.0,0.0
122,WPAC_17_33,Tembin,0,0,7.6632986583140905,8.806362709553035,5,0,6.633976111699347,7.772609754204225,5,0,6.767747905677902,8.507846640975643,133,0.0,0.0,3.76,0.0,3.76,0.0
123,WPAC_19_28,Fung-Wong,0,0,6.843269042738699,7.97969632215655,0,0,5.575460583322403,6.622752138873031,1,0,5.009504321078399,6.280538292880207,34,0.0,0.0,0.0,0.0,2.94,0.0
124,WPAC_19_22,Bualoi,0,0,5.252624441793185,6.079303014977653,4,0,4.179502370562409,4.949724891035983,5,0,4.017957562897546,5.018139767388268,149,0.0,0.0,2.68,0.0,3.36,0.0
125,WPAC_15_13,Soudelor,0,0,6.823014050527046,7.9075409007118065,0,0,5.365248074690898,6.35998650308365,0,0,4.780344462846475,5.936587034969464,80,0.0,0.0,0.0,0.0,0.0,0.0
126,SHEM_15_12,Lam,0,0,7.953687309821334,9.104979856318359,0,0,6.72218206065768,7.853421431488045,0,0,6.167563845712625,7.605206274062979,76,0.0,0.0,0.0,0.0,0.0,0.0
127,CPAC_15_4,Loke,0,0,6.186208623900493,7.284820912568602,1,0,4.412798293340636,5.342711071535808,2,0,4.13166148207881,5.282398993241646,31,0.0,0.0,3.23,0.0,6.45,0.0
128,SHEM_11_19,Bune,2,2,0.6931471805599453,0.6931471805599453,2,2,1.039720770839918,1.126364168409911,1,0,3.472922932857662,4.615858076595181,8,25.0,25.0,25.0,25.0,12.5,0.0
129,WPAC_20_3,Hagupit,0,0,5.27460083993072,6.190891571804875,0,0,4.0312864262549635,4.764454960651678,0,0,3.9737752693805275,5.014703464027603,9,0.0,0.0,0.0,0.0,0.0,0.0
