storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
IO_18_6,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,48,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_18_7,0,0,7.43201323537563,8.053752709909691,2,0,5.340908199900418,6.462384677512289,0,10,7.026992545923733,4.965640744009491,124,0.0,0.0,1.61,0.0,0.0,8.06,2.0,median,0-2
IO_19_1,0,0,7.43201323537563,8.053752709909691,10,0,5.340908199900418,6.462384677512289,0,16,7.026992545923733,4.965640744009491,85,0.0,0.0,11.76,0.0,0.0,18.82,2.0,median,0-2
IO_19_2,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_19_3,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_19_4,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,42,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_19_5,0,0,7.43201323537563,8.053752709909691,8,4,5.340908199900418,6.462384677512289,0,11,7.026992545923733,4.965640744009491,116,0.0,0.0,6.9,3.45,0.0,9.48,2.0,median,0-2
IO_20_1,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,34,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_20_2,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_20_3,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
